City,Address,Hours,Phone
Bytom,ul. Łużycka 12 41-902 Bytom,,+48 534 654 972
Bytom,Plac Wolskiego 1 41-902 Bytom,,+48 534 655 165
Bytom,ul. Schenka 3b 41-902 Bytom,,+48 786 200 620
Bytom,ul. Worpie 1a 41-906 Bytom,"Pn-Pt: 5:00-20:00, So: 6:00-18:00, Nd: 8:00-18:00",+48 534 655 337
Bytom,ul. Strzelców Bytomskich 250 a 41-933 Bytom,"Pn-Pt: 5:00-21:00, So: 6:00-20:00, Nd: 8:00-20:00",
Chorzow,ul. Krzyżowa 7 41-500 Chorzów,,+48 732 760 500
Chorzow,ul. Boczna  12 41-516 Chorzów,"Pn-So: 6:00-20:00, Nd: 8:00-18:00",+48 883 711 722
Chorzow,ul. Ryszki 57a 41-516 Chorzów,"Pn-So: 6:00-20:00, Nd: 8:00-18:00",+48 884 911 322
Chorzow,ul. Mazurska 17 41-706 Chorzów,,
Myslowice,ul. Wysockiego 2 41-400 Mysłowice,,+48 731 600 920
Myslowice,Ul. Skotnica 6 41-406 Mysłowice,,+48 576 500 140
Myslowice,Ul. Roździeńskiego 1 41-408 Mysłowice,,
Katowicach,ul. Gliwicka 119 40-079 Katowice,,+48 792 500 340
Katowicach,ul. Przedwiośnia 10a 40-319 Katowice,"Pn-Pt: 5:00-18:00, So: 6:00-16:00, Nd: 8:00-18:00",+48 536 700 340
Katowicach,ul. Witosa 5 40-832 Katowice,"Pn-Pt: 6:00-21:00, So: 6:00-21:00, Nd: 8:00-20:00",+48 534 655 228
Katowicach,ul. Zawiszy Czarnego 16 40-872 Katowice,"Pn-Pt: 6:00-18:00, So: 6:00-18:00, Nd: 8:00-18:00",
Piekary Slaskie,ul.Kamienna 2 41-940 Piekary Śląskie,Pn-So: 8:00-19:00,+48 576 800 590
Piekary Slaskie,ul. Węglowa 3 41-943 Piekary Śląskie,"Pn-Pt: 5:00-21:00, So: 6:00-21:00, Nd: 9:00-21:00",+48 576 830 200
Ruda Slaska,ul. Szyb Powietrzny 1 41-700 Ruda Śląska,,+48 576 100 290
Ruda Slaska,ul. Solidarności 22 41-706 Ruda Śląska,"Pn-So: 5:00-20:00, Nd: 8:00-18:00",+48 536 800 520
Ruda Slaska,ul. Siekiela 19 41-707 Ruda Śląska,,+48 791 600 470
Ruda Slaska,ul. Jadwigi 15 41-712 Ruda Śląska,,+48 883 290 700
Ruda Slaska,ul. Joanny 20a 41-712 Ruda Śląska,,
Swietochlowice,ul. Korfantego 1 41-608 Świętochłowice,"Pn-So: 5:00-20:00, Nd: 8:00-18:00",
Tarnowskie Gory,ul. Słoneczników 41 42-606 Tarnowskie Góry,"Pn-Pt: 5:00-21:00, So: 6:00-20:00, Nd: 8:00-20:00",+48 534 656 386
Tarnowskie Gory,ul. Łotewska 5 42-612 Tarnowskie Góry,"Pn-Pt: 6:00-20:00, So: 6:00-18:00, Nd: 8:00-18:00",
Zabrze,ul. 3 Maja 28 41-800 Zabrze,"Pn-Pt: 6:00-20:00, So: 6:00-18:00, Nd: 8:00-18:00",+48 732 900 250
Zabrze,ul. Bytomska 38a 41-800 Zabrze,,+48 732 700 420
Zabrze,ul. Wolności 269 41-800 Zabrze,,+48 791 700 520
Zabrze,ul. Wolności 293 41-800 Zabrze,,+48 796 300 570
Zabrze,Sikorskiego 70 41-806 Zabrze,,+48 534 651 443
Zabrze,ul. Olchowa 3b 41-806 Zabrze,,+48 530 630 328
Zabrze,ul. Gogola 2 41-807 Zabrze,,+48 537 900 180
Zabrze,ul. Budowlana 28 41-808 Zabrze,,+48 792 400 580
Zabrze,ul. Jordana 44 41-808 Zabrze,,+48 576 170 200
Zabrze,ul. Krakowska 54 41-808 Zabrze,"Pn-So: 6:00-20:00, Nd: 8:00-18:00",
